symbol,group,combo,dip_pct,dip_minutes,stable_range_pct,stable_minutes,take_profit_pct,stop_loss_pct,timeout_minutes,candidates,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
ARBUSDT,fast_alt,sol_4pct_6h,4.0,360,1.0,45,3.0,2.0,1440,241,102,45,55,2,0,44.11764705882353,45.0,44.0,1.0,34.34922238582971,204.00000000000003,187.31372549019608,27.999999999999996,-21.502645221301233,-22.0,27.999999999999996
ARBUSDT,fast_alt,sol_4pct_12h,4.0,720,1.2,60,3.5,2.0,1440,283,96,40,54,2,0,41.666666666666664,42.5531914893617,39.99999999999999,2.5531914893617085,129.13895216400905,192.0,248.8125,33.0,-21.265375854214124,-22.0,33.0
ARBUSDT,fast_alt,sol_5pct_6h,5.0,360,1.5,30,4.0,2.0,1440,268,78,31,47,0,0,39.743589743589745,39.743589743589745,36.666666666666664,3.07692307692308,144.0,156.0,197.62820512820514,38.0,-22.0,-22.0,38.0
ARBUSDT,fast_alt,sol_5pct_8h,5.0,480,1.2,45,4.0,2.0,1440,217,81,31,49,1,0,38.27160493827161,38.75,36.666666666666664,2.0833333333333357,101.42857142857156,162.0,214.8641975308642,36.85714285714286,-22.0,-22.0,38.0
ARBUSDT,fast_alt,sol_5pct_12h,5.0,720,1.5,60,4.0,2.5,1440,217,76,31,44,1,0,40.78947368421053,41.333333333333336,41.53846153846154,-0.2051282051282044,-10.859749144811989,152.0,281.9078947368421,38.0,-26.419105536551378,-27.000000000000004,38.0
ARBUSDT,fast_alt,sol_6pct_12h,6.0,720,1.5,60,4.0,2.5,1440,170,58,28,30,0,0,48.275862068965516,48.275862068965516,41.53846153846154,6.737400530503976,253.99999999999994,116.0,252.0344827586207,38.0,-27.000000000000004,-27.000000000000004,38.0
ARBUSDT,fast_alt,sol_6pct_24h,6.0,1440,2.0,90,5.0,2.5,1440,188,58,23,34,1,0,39.6551724137931,40.35087719298246,36.0,4.350877192982459,178.3502824858756,116.0,357.7241379310345,48.0,-26.44713478611784,-27.000000000000004,48.0
ARBUSDT,fast_alt,sol_7pct_12h,7.0,720,1.5,60,5.0,2.5,1440,136,45,19,25,1,0,42.22222222222222,43.18181818181818,36.0,7.18181818181818,237.13675213675208,90.0,309.5111111111111,45.6068376068376,-27.000000000000004,-27.000000000000004,48.0
ARBUSDT,fast_alt,sol_7pct_24h,7.0,1440,2.0,120,5.0,3.0,1440,112,43,17,23,3,0,39.53488372093023,42.5,40.0,2.5,65.28344047633031,86.0,431.48837209302326,48.0,-28.873713827833452,-32.0,48.0
ARBUSDT,fast_alt,sol_8pct_24h,8.0,1440,2.0,90,5.0,3.0,1440,115,35,16,15,4,0,45.714285714285715,51.61290322580645,40.0,11.612903225806448,278.47981614057124,70.0,438.0571428571429,45.99607248058555,-27.969634223854616,-32.0,48.0
NEARUSDT,fast_alt,sol_4pct_6h,4.0,360,1.0,45,3.0,2.0,1440,179,60,21,36,3,0,35.0,36.8421052631579,44.0,-7.157894736842103,-186.39683809646425,120.0,295.55,25.233465079313987,-22.0,-22.0,27.999999999999996
NEARUSDT,fast_alt,sol_4pct_12h,4.0,720,1.2,60,3.5,2.0,1440,229,63,22,39,2,0,34.92063492063492,36.0655737704918,39.99999999999999,-3.9344262295081904,-132.46356429638328,126.0,308.7936507936508,31.680570882071653,-21.527917364600782,-22.0,33.0
NEARUSDT,fast_alt,sol_5pct_6h,5.0,360,1.5,30,4.0,2.0,1440,137,34,11,22,1,0,32.35294117647059,33.333333333333336,36.666666666666664,-3.3333333333333286,-61.644067796610074,68.0,401.52941176470586,35.19632768361583,-22.0,-22.0,38.0
NEARUSDT,fast_alt,sol_5pct_8h,5.0,480,1.2,45,4.0,2.0,1440,126,41,10,29,2,0,24.390243902439025,25.641025641025642,36.666666666666664,-11.025641025641022,-242.42506325825119,82.0,357.0243902439024,32.964578061812404,-22.0,-22.0,38.0
