symbol,group,mode,dump_pct,take_profit_pct,stop_loss_pct,timeout_minutes,trades,wins,losses,timeouts,both_hit,win_rate_pct,resolved_win_rate_pct,breakeven_win_rate_pct,edge_vs_be_pp,net_usd,fees_usd,avg_hold_minutes,avg_win_usd,avg_loss_usd,worst_trade_usd,best_trade_usd
ADAUSDT,large_alt,always_in_15m,0.0,1.5,1.0,240,65,13,32,20,0,20.0,28.88888888888889,47.99999999999999,-19.111111111111104,-184.71112159751678,130.0,133.90769230769232,8.740777780635705,-10.080764152835235,-12.0,13.0
ADAUSDT,large_alt,always_in_15m,0.0,1.5,1.0,480,53,18,30,5,0,33.9622641509434,37.5,47.99999999999999,-10.499999999999993,-140.3144596955672,106.0,168.11320754716982,12.465154177170069,-11.092717325347015,-12.0,13.0
ADAUSDT,large_alt,always_in_15m,0.0,1.5,1.0,720,52,18,32,2,0,34.61538461538461,36.0,47.99999999999999,-11.999999999999993,-157.40155422412337,104.00000000000001,171.92307692307693,13.0,-11.511810418356571,-12.0,13.0
ADAUSDT,large_alt,always_in_15m,0.0,2.0,1.0,240,60,8,29,23,0,13.333333333333334,21.62162162162162,39.99999999999999,-18.378378378378372,-134.88205271658558,120.0,145.46666666666667,9.622426429237585,-10.16167463939688,-12.0,18.000000000000004
ADAUSDT,large_alt,always_in_15m,0.0,2.0,1.0,480,49,12,31,6,0,24.489795918367346,27.906976744186046,39.99999999999999,-12.093023255813947,-132.612989566266,98.0,182.6122448979592,16.422177137578473,-11.145460194998327,-12.0,18.000000000000004
ADAUSDT,large_alt,always_in_15m,0.0,2.0,1.0,720,45,13,30,2,0,28.88888888888889,30.232558139534884,39.99999999999999,-9.767441860465109,-128.43106915315846,90.0,200.11111111111111,16.75207746224439,-11.708392052405804,-12.0,18.000000000000004
ADAUSDT,large_alt,always_in_15m,0.0,2.0,1.5,240,49,5,16,28,0,10.204081632653061,23.80952380952381,48.57142857142857,-24.76190476190476,-126.07779110006025,98.0,179.51020408163265,10.404879252610835,-10.792349896655534,-17.0,18.000000000000004
ADAUSDT,large_alt,always_in_15m,0.0,2.0,1.5,480,36,11,18,7,0,30.555555555555557,37.93103448275862,48.57142857142857,-10.64039408866995,-117.16685153979923,72.00000000000001,251.30555555555554,17.689035756651418,-13.72647002581734,-17.0,18.000000000000004
ADAUSDT,large_alt,always_in_15m,0.0,2.0,1.5,720,32,11,18,3,0,34.375,37.93103448275862,48.57142857142857,-10.64039408866995,-112.12589433577327,64.0,284.5625,16.96881884426368,-15.78758602334687,-17.0,18.000000000000004
ADAUSDT,large_alt,always_in_15m,0.0,2.5,1.2,240,52,3,21,28,0,5.769230769230769,12.5,37.837837837837846,-25.337837837837846,-120.78413355697238,104.00000000000001,168.73076923076923,10.073313587059685,-10.72011996403954,-14.0,23.0
ADAUSDT,large_alt,always_in_15m,0.0,2.5,1.2,480,39,6,22,11,0,15.384615384615385,21.428571428571427,37.837837837837846,-16.40926640926642,-103.43513917098473,78.0,230.43589743589743,16.959428939066065,-12.457989053032446,-14.0,23.0
ADAUSDT,large_alt,always_in_15m,0.0,2.5,1.2,720,33,8,20,5,0,24.242424242424242,28.571428571428573,37.837837837837846,-9.266409266409273,-82.62037544068691,66.0,274.6666666666667,20.482054674951485,-12.49743139957399,-14.0,23.0
ADAUSDT,large_alt,always_in_15m,0.0,3.0,1.5,240,46,2,14,30,0,4.3478260869565215,12.5,37.777777777777786,-25.277777777777786,-110.63105295226595,92.0,191.47826086956522,9.40549807400666,-10.716130235496015,-17.0,27.999999999999996
ADAUSDT,large_alt,always_in_15m,0.0,3.0,1.5,480,33,5,17,11,0,15.151515151515152,22.727272727272727,37.777777777777786,-15.050505050505059,-73.54750086019209,66.0,273.72727272727275,19.26570754082486,-14.511237683337637,-17.0,27.999999999999996
ADAUSDT,large_alt,always_in_15m,0.0,3.0,1.5,720,26,4,15,7,0,15.384615384615385,21.05263157894737,37.777777777777786,-16.725146198830416,-85.60750898749447,52.00000000000001,351.3076923076923,22.10417665033841,-14.580051232788987,-17.0,27.999999999999996
