symbol,group,combo,step_pct,levels,stop_pct,notional,buy_fills,sell_fills,round_trips,fees_usd,realized_usd,unrealized_usd,net_usd,max_inventory_lots,max_drawdown_usd,ending_cash,ending_inventory_qty,ending_mark,stopped
SOLUSDT,large_alt,grid_0.5pct_8lvl,0.5,8,,1000.0,53,53,53,13.28312499999999,33.12499999999925,0.0,19.841874999999256,8,39.44771371320246,1019.8418749999993,0,112.72,False
SOLUSDT,large_alt,grid_0.8pct_8lvl,0.8,8,,1000.0,34,34,34,8.534000000000004,34.00000000000004,0.0,25.466000000000037,8,28.63903330909136,1025.4660000000006,0,112.72,False
SOLUSDT,large_alt,grid_1.0pct_10lvl,1.0,10,,1000.0,23,23,23,4.623,23.000000000000085,0.0,18.377000000000084,6,17.926639477806816,1018.3769999999995,0,112.72,False
SOLUSDT,large_alt,grid_1.5pct_8lvl,1.5,8,,1000.0,8,8,8,2.015,14.9999999999999,0.0,12.9849999999999,4,15.251291884109719,1012.9849999999997,0,112.72,False
SOLUSDT,large_alt,grid_1.0pct_10lvl_stop8,1.0,10,8.0,1000.0,23,23,23,4.623,23.000000000000085,0.0,18.377000000000084,6,17.926639477806816,1018.3769999999995,0,112.72,False
SOLUSDT,large_alt,grid_0.8pct_12lvl,0.8,12,,1000.0,34,34,34,5.6893333333333285,22.6666666666665,0.0,16.97733333333317,8,19.092688872727308,1016.9773333333337,0,112.72,False
