combo,symbol,entry_time,exit_time,outcome,ret,pnl,notional,cash_before,open_count_at_entry,equity_before,equity_after,hold_minutes
d4_w30,ORCL,1782914100000,1783011900000,loss,-0.046,-46.0,1000.0,1000.0,0,1000.0,954.0,580
d5_w60,DELL,1783012200000,1783344600000,timeout,0.030657235501744935,29.247002668664667,954.0,954.0,0,954.0,983.2470026686647,170
d5_w30,MU,1783346400000,1783431000000,loss,-0.046,-45.22936212275857,983.2470026686647,983.2470026686647,0,983.2470026686647,938.017640545906,360
d4_w30,ORCL,1783431300000,1783434300000,loss,-0.046,-43.14881146511168,938.017640545906,938.017640545906,0,938.017640545906,894.8688290807944,50
d4_w60,AVGO,1783434600000,1783518300000,win,0.044000000000000004,39.37422847955496,894.8688290807944,894.8688290807944,0,894.8688290807944,934.2430575603494,345
d5_w30,MU,1783519200000,1783603800000,win,0.044000000000000004,41.106694532655375,934.2430575603494,934.2430575603494,0,934.2430575603494,975.3497520930048,360
d5_w120,ARM,1783611300000,1783690200000,loss,-0.046,-44.86608859627822,975.3497520930048,975.3497520930048,0,975.3497520930048,930.4836634967265,265
d5_w30,MU,1783692000000,1783949400000,loss,-0.046,-42.80224852084942,930.4836634967265,930.4836634967265,0,930.4836634967265,887.6814149758771,360
d5_w30,MU,1783951200000,1784035800000,win,0.044000000000000004,39.0579822589386,887.6814149758771,887.6814149758771,0,887.6814149758771,926.7393972348158,360
d4_w60,AVGO,1784036400000,1784209200000,timeout,-0.02197255896737637,-20.362836053132824,926.7393972348158,926.7393972348158,0,926.7393972348158,906.376561181683,780
d5_w60,DELL,1784210400000,1784295000000,loss,-0.046,-41.69332181435742,906.376561181683,906.376561181683,0,906.376561181683,864.6832393673255,360
d5_w120,ARM,1784296500000,1784304300000,win,0.044000000000000004,38.04606253216233,864.6832393673255,864.6832393673255,0,864.6832393673255,902.7293018994878,130
d5_w120,ARM,1784304900000,1784554200000,timeout,0.02046374387472128,18.47322122227706,902.7293018994878,902.7293018994878,0,902.7293018994878,921.2025231217649,225
d5_w30,HPE,1784555400000,1784727000000,win,0.044000000000000004,40.53291101735766,921.2025231217649,921.2025231217649,0,921.2025231217649,961.7354341391226,760
d4_w240,IBM,1784730300000,1784813400000,loss,-0.046,-44.23982997039964,961.7354341391226,961.7354341391226,0,961.7354341391226,917.4956041687229,335
